type	name	lat	long	id	fac	description	abbr	openingtimes	link
Academic	Zuckerman Institute for Connective Environmental Research	52.62170696	1.23765707	ZICER	SCI	"The <a href='http://www.uea.ac.uk/zicer/'>Zuckerman Institute for Connective Environmental Research</a> (ZICER) is home to international research centres, the <a href='http://www.tyndall.ac.uk/'>Tyndall Centre for Climate Change</a>, <a href='http://www.uea.ac.uk/env/cserge/'>CSERGE</a> and the <a href='http://www.uea.ac.uk/env/cer/'>Centre for Environmental Risk</a>. The ZICER building itself is also a innovation in environmental friendly architecture. "	null	Mon-Fri 8:00 to 17:00	null
Academic	British Centre for Literary Translation	52.62218	1.24074	null	HUM	null	null	Mon-Fri 8:00 to 17:00	null
Academic	Centre for East Anglian Studies	52.62231	1.24077	null	HUM	null	null	Mon-Fri 8:00 to 17:00	null
Academic	Climatic Research Unit	52.621784	1.238556	CRU	null	"The <a href='http://www.cru.uea.ac.uk/'>Climatic Research Unit</a>, part of the School of Environmental Sciences, is widely recognised as one of the world's leading institutions concerned with the study of natural and anthropogenic climate change."	CRU	Mon-Fri 8:00 to 17:00	null
Academic	INTO University of East Anglia	52.623531	1.24535	INTO	null	"<a href='http://www.into.uk.com/uea'>INTO University of East Anglia</a> is a state of the art, purpose built Centre, which prepares international students for entry onto degree courses at the University. The Centre comprises modern teaching and accomodation facilities over five stories.  "	INTO	Mon-Fri 8:00 to 17:00	http://www.into.uk.com/uea
Academic	James Platt Language Centre	52.62186	1.24027	null	HUM	null	null	Mon-Fri 8:00 to 17:00	null
Academic	John Innes Centre	52.621315	1.222208	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Academic	Norwich Business School	52.62204	1.2362	NBS	SSF	"Norwich Business School embraces the University's motto of ‘Do Different' by delivering innovative and pioneering courses at facilities in both Norwich and London. Our excellent teaching department is underpinned by cutting edge research, which ensures we're highly relevant to business needs now and in the future. "	NBS	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/nbs
Academic	Norwich Medical School	52.62188445	1.234918535	MED	FMH	The Norwich Medical School is a leader in preparing students to become highly competent and confident doctors. We are proud of our reputation as one of the very best schools of medicine in the country. We want you to be the best too – by learning and developing first class clinical skills and nurturing excellence in scientific understanding.	MED	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/medicine
Academic	Norwich Research Park	52.624611	1.224031	NRP	null	null	null	Mon-Fri 8:00 to 17:00	null
Academic	"Art, Media and American Studies"	52.62205	1.24054	AMA	HUM	"The School of Art, Media and American Studies brings together world-leading expertise in the visual arts, in film, television and media studies and in the literature, history, and culture of the United States, and the Atlantic and Pacific worlds."	AMA	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/ama
Academic	School of Biological Sciences	52.62073	1.23655	BIO	SCI	The School of Biological Sciences is a vibrant and friendly academic community firmly embedded in the internationally renowned Norwich Research Park. It boasts extensive state-of-the-art research facilities as well as modern teaching laboratories.	BIO	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/biological-sciences
Academic	School of Chemistry	52.621536	1.239213	CHE	SCI	"The School of Chemistry prides itself on research excellence across its spectrum of activities, from synthetic chemistry and drug discovery to spectroscopy and analytical and biophysical chemistry, as confirmed by successive Research Assessment Exercises."	CHE	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/chemistry
Academic	School of Computing Sciences	52.621052	1.237673	CMP	SCI	"The School of Computing Sciences is one of the largest and most experienced Schools of Computing Sciences in the UK, expertly blending excellent teaching, research, facilities and exciting course modules to offer a dynamic programme targeted at the job market."	CMP	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/computing
Academic	School of Economics	0	0	ECO	SSF	"The School of Economics proudly combines a reputation for internationally renowned research and unparalleled academic support to its students. Always pursuing a research-inspired approach, we are committed to offering an outstanding academic experience that provides a platform to fully explore the influence of economic analysis."	ECO	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/economics
Academic	School of Education and Lifelong Learning	52.621639	1.237255	EDU	SSF	The School was ranked joint 3rd for Teaching and joint 5th for overall satisfaction in the 2012 National Student Survey.	EDU	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/education
Academic	School of Engineering	0	0	null	SCI	null	null	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/engineering
Academic	School of Environmental Sciences	52.621433	1.23822	ENV	SCI	"The School of Environmental Sciences is one of the longest established, largest and most fully developed Schools of Environmental Sciences in Europe. Our holistic approach to teaching and research, integrating physical, chemical, biological, social and geotechnical sciences into the study of natural and human environments, is truly a modern philosophy for the new millennium."	ENV	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/environmental-sciences
Academic	History	52.62211	1.24053	HIS	HUM	"Recognised as a leading department within the UK, History at UEA has a chronological range from the collapse of the Roman empire to the present day, a geographical scope covering Europe, Africa, the Middle East, North America and the Caribbean, and experts in political, economic, social, cultural, environmental, diplomatic and intellectual history."	HIS	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/history
Academic	School of International Development	52.62194	1.24033	DEV	SSF	The School of International Development (DEV) at the University of East Anglia is a leading global centre of excellence in research and teaching in international development. Read more about the school.	DEV	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/international-development
Academic	"Politics, Philosophy, Language and Communication Studies"	52.62189	1.24035	PPL	HUM	"The School brings together staff and students studying a wide range of subjects including politics, international relations, broadcast journalism, media, public policy, philosophy, language competency, intercultural communication and translation studies"	PPL	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/ppl
Academic	"Literature, Drama and Creative Writing"	52.62224	1.24083	LDC	HUM	"The School of Literature, Drama and Creative Writing at the University of East Anglia has a long-established international reputation in literary studies. World famous for its pioneering courses in creative writing, it is also home to prize-winning scholars and translators of literature and drama from all periods."	LDC	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/literature
Academic	School of Mathematics	52.62101	1.23769	MTH	SCI	The School of Mathematics at UEA is a flourishing department committed to excellence in teaching and research.	MTH	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/mathematics
Academic	School of Natural Sciences	0	0	null	SCI	Studying Natural sciences is an ideal way to combine interests from more than one area of science.	null	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/naturalsciences
Academic	School of Health Sciences	52.61961	1.22324	HSC	FMH	The School of Health Sciences offers a superb learning environment that enables students to fulfil their potential and ensures our graduates are fit for practice in the modern and ever-changing health and social care sector.	HSC	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/health-sciences
Academic	School of Pharmacy	52.62154	1.2395	PHA	SCI	"The School was founded in 2003 and has quickly risen to become one of the top pharmacy schools in the country, number one in the Guardian University Guide (2013).  Our Pharmacy degree is highly acclaimed for its innovative content and teaching methods and was reaccrediated by the GPhC in 2012 with no conditions or recommendations."	PHA	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/pharmacy
Academic	School of Psychology	52.62137	1.23732	PSY	SSF	"We are the first new school of Psychology in a research-intensive UK university for many years, but with an already-thriving British Psychological Society accredited degree programme that is consistently rated most highly by our students. Our teaching is research-led, with internationally-renowned researchers sharing the excitement of new discoveries in psychological science that impact upon how we understand each other and the world in which we live."	PSY	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/psychology
Academic	School of Social Work	52.62156	1.23557	SWK	SSF	The School of Social Work is an internationally renowned academic department dedicated to research and teaching. We have a strong interdisciplinary focus with a reputation for policy relevant empirical research.	SWK	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/socialwork
Academic	Law School	52.625523	1.236653	LAW	SSF	"The Law School is renowned for its high quality of courses and internationally recognised research, as well as providing an intimate, student focused experience."	null	null	https://www.uea.ac.uk/law
Academic	Graduate School	52.621727	1.222765	GS	SSF	The Faculty of Social Science (SSF) Graduate School at the University of East Anglia (UEA) provides a vibrant and interdisciplinary research and training environment for postgraduate research (PGR) students.	null	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/social-sciences/graduate-school
Academic	Interdisciplinary Institute for the Humanities	52.620696	1.241978	IIH	null	"We provide an intellectual home for those activities in the Faculty of Arts and Humanities which cross disciplinary boundaries, including the Centre for Japanese Studies (CJS) and the East Anglian Film Archive (EAFA)."	null	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/humanities
Academic	Lecture Theatres 1-4	52.621258	1.240329	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Academic	UEA Library	52.620899	1.240648	null	null	"The Library plays an important part in the life of every student. The Library contains over 800,000 books and journals, 1,200 study spaces, over 260 computers for student use and 24 hour open access to the IT facility."	LIB	Mon-Fri 8:00 to 17:00	https://www.uea.ac.uk/is/lib
Academic	Study Abroad	52.62189	1.24033	null	null	The Study Abroad Office has a team of staff dedicated to supporting the needs of all students interested in spending a period abroad either here at UEA or on exchange with one of our partners. We look forward to meeting you in our office.	null	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/study/international/study-abroad
Academic	International Office	52.62167	1.23723	null	null	"The University of East Anglia has a student population of 15,000 and is home to more than 3500 students from outside the UK. International students are attracted to our top quality undergraduate (Bachelor) and postgraduate (Masters and PhD) studies in popular subjects ranging from social sciences and humanities to life, natural and health sciences. Our world class academic staff bring the courses to life and help prepare our graduates for a dynamic future."	null	Mon-Fri 8:00 to 17:00	http://www.uea.ac.uk/study/international
Campus Facilities	Accommodation Office	52.621039	1.244202	null	null	Accommodation Office - Nelson Court room 0.353	null	N/A	https://portal.uea.ac.uk/accommodation
Accommodation	Accommodation Office	52.621039	1.244202	null	null	Accommodation Office - Nelson Court room 0.353	null	N/A	https://portal.uea.ac.uk/accommodation
Accommodation	Britten House	52.622128	1.244792	132	null	"Our newest residences, <a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston </strong>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  "	null	N/A	null
Accommodation	Browne House	52.622547	1.247329	127	null	"Our newest residences, <strong><a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>Britten, Browne, Colman, Kett, Paston and Victory</a></strong> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  "	null	N/A	null
Accommodation	Colman House (Block G)	52.621609	1.245607	126	null	"Our newest residences, <strong>Britten, Browne, Colman, Kett<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>, Paston </a></strong><a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner. "	null	N/A	null
Accommodation	Colman House (Block F)	52.62132105	1.246867776	125	null	"Our newest residences, <strong>Britten, Browne, Colman, Kett<a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>, Paston </a></strong><a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>and<strong> Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner."	null	N/A	null
Accommodation	Constable Terrace	52.621407	1.234353	107	null	"Constable Terrace offers rooms arranged mainly in ten-person houses, with a large kitchen and dining area on the ground floor."	null	N/A	http://www.uea.ac.uk/accommodation/student+residences/campusensuite
Accommodation	Family Accomodation	52.620365	1.241316	104	null	"UEA owns and maintains 46 two-bedroom, centrally-heated houses, to let to UEA students who have children. For more information please visit <a href='http://www.uea.ac.uk/accommodation/studentswithfamilies'>Students with families</a> "	null	N/A	null
Accommodation	Kett House	52.622894	1.247125	128	null	"Our newest residences, <strong><a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>Britten, Browne, Colman, Kett, Paston and Victory</a></strong> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  "	null	N/A	null
Accommodation	Nelson Court	52.621543	1.244226	103	null	"<a href='http://www.uea.ac.uk/accommodation/student+residences/campusensuite'>Nelson Court</a> offers rooms arranged mainly in ten-person houses, with a large kitchen and dining area on the ground floor.<br>  "	null	N/A	null
Accommodation	Norfolk Terrace	52.620342	1.237271	106	null	"Rooms in the architecturally unique ziggurats of <a href='http://www.uea.ac.uk/accommodation/student+residences/stadardrooms'>Norfolk and Suffolk Terrace</a> are arranged in flats of up to 12 rooms, each with own washbasin, and each flat has a large kitchen/diner overlooking the broad. Norfolk and Suffolk terrace have been recently refurbished to upgrade the shower and toilet facilities as well as the study bedrooms."	null	N/A	null
Accommodation	Orwell Close	52.622089	1.247324	101	null	"100 standard rooms are available in <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Orwell Close</a> and <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Wolfson Close</a>. The rooms are arranged in flats of between 5 and 12 rooms, and the size of the kitchen/diner reflects the number of people sharing. Please note these rooms do not have washbasins."	null	N/A	null
Accommodation	Paston House	52.622589	1.245017	130	null	"Our newest residences, <strong><a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>Britten, Browne, Colman, Kett, Paston</a></strong> <a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'>and <strong>Victory</strong></a> all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  "	null	N/A	null
Accommodation	Suffolk Terrace	52.620174	1.240125	105	null	"Rooms in the architecturally unique ziggurats of <a href='http://www.uea.ac.uk/accommodation/student+residences/stadardrooms'>Norfolk and Suffolk Terrace</a> are arranged in flats of up to 12 rooms, each with own washbasin, and each flat has a large kitchen/diner overlooking the broad. Norfolk and Suffolk terrace have been recently refurbished to upgrade the shower and toilet facilities as well as the study bedrooms. "	null	N/A	null
Accommodation	University Village	52.628235	1.23719	null	null	"The <a href='http://www.ueaaccommodation.com/mediaimages/gallery/village/village.html'><strong>University Village</strong></a>, located just across the road from the main University entrance, offers 700 en-suite rooms in a group of 10 buildings, and is popular with students because of its sense of community. "	null	N/A	null
Accommodation	Pine - University Village	52.62938047	1.235135794	111	null	null	null	N/A	null
Accommodation	Willow - University Village	52.62912325	1.234969497	110	null	null	null	N/A	null
Accommodation	Ash - University Village	52.62802594	1.236235499	123	null	null	null	N/A	null
Accommodation	Beech - University Village	52.62842319	1.236723661	118	null	null	null	N/A	null
Accommodation	Elm - University Village	52.62878136	1.237737536	114	null	null	null	N/A	null
Accommodation	Hawthorne - University Village	52.62883997	1.235178709	109	null	null	null	N/A	null
Accommodation	Larch - University Village	52.62812037	1.236906052	121	null	null	null	N/A	null
Accommodation	Oak - University Village	52.62820177	1.236401796	122	null	null	null	N/A	null
Accommodation	Village Close (Block E) 9-12	52.62942931	1.237270832	112	null	null	null	N/A	null
Accommodation	Village Close (Block D) 13-24	52.62911022	1.237555146	113	null	null	null	N/A	null
Accommodation	Village Close (Block F) 5-6	52.62897672	1.237206459	115	null	null	null	N/A	null
Accommodation	Village Close (Block G) 2-4	52.62880741	1.237238646	116	null	null	null	N/A	null
Accommodation	Village Courtyard A	52.62799989	1.237265468	120	null	null	null	N/A	null
Accommodation	Village Courtyard B	52.62845901	1.237555146	119	null	null	null	N/A	null
Accommodation	Yew - University Village	52.62865763	1.23701334	117	null	null	null	N/A	null
Accommodation	Victory House	52.622639	1.24638	129	null	"Our newest residences, <a href='https://www.uea.ac.uk/accommodation/student+residences/campusensuite'><strong>Britten, Browne, Colman, Kett, Paston and Victory</strong> </a>all provide light, en-suite rooms grouped in 8 or 12-person flats, with a central wide corridor and a purpose-built kitchen/diner.  "	null	N/A	null
Accommodation	Wolfson Close	52.621647	1.247152	102	null	"100 standard rooms are available in <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html.'>Orwell Close</a> and <a href='http://www.ueaaccommodation.com/mediaimages/gallery/standard/orwellwolfson/orwellwolfson.html'>Wolfson Close</a>. The rooms are arranged in flats of between 5 and 12 rooms, and the size of the kitchen/diner reflects the number of people sharing. Please note these rooms do not have washbasins. "	null	N/A	null
Accommodation	Crome Court	52.62216	1.246562	133	null	null	null	N/A	null
Accommodation	BroadView Lodge	52.621373	1.243357	null	null	"<a href='http://www.broadviewlodge.co.uk/index.htm'>Broadview Lodge</a> is Bed and Breakfast accommodation on campus. Broadview Lodge has sixty en-suite rooms, which are available all year round, ideal for a small conference, training day or indeed for leisure guests. Rooms are equipped with TV, tea and coffee making facilities, Wi-Fi internet access, alarm clock, hair dryer and an iron and ironing board."	null	N/A	https://www.uea.ac.uk/about/visiting-staying/visitor-accommodation/broadview-lodge
Teaching Building	Bio-Medical Research Centre (BMRC)	52.62106866	1.236739755	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Biomass Energy Centre	52.62364948	1.244850755	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Blackdale Building	52.62432031	1.245577633	BDS	null	null	BDS	Mon-Fri 8:00 to 17:00	null
Teaching Building	Earlham Hall	52.625499	1.236646	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Edith Cavell Building	52.61972	1.22333	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Lawrence Stenhouse Building	52.62143503	1.237353981	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Elizbeth Fry Building	52.621571	1.235393	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Hubert Lamb Building	52.62184374	1.238560975	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	ITCS Building	52.621319	1.239371	null	null	null	ITCS	Mon-Fri 8:00 to 17:00	null
Teaching Building	Estates Building	52.62215148	1.238343716	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Medical Building	52.62187956	1.234615445	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Queen's Building	52.62120218	1.236128211	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Registry Building	52.622505	1.241659	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Teaching Wall: Arts I	52.62180303	1.240253448	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Teaching Wall: Arts II	52.622112	1.240677	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Teaching Wall: Biology	52.62068112	1.236501038	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Teaching Wall: Chemisty (CAP)	52.62155064	1.239317358	null	null	null	CAP	Mon-Fri 8:00 to 17:00	null
Teaching Building	Teaching Wall: Sciences	52.62144643	1.238292754	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Thomas Paine Study Centre	52.62195121	1.236197948	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	ZICER Building	52.62173464	1.238051355	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building Building	Music Building	52.62090746	1.242259741	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	Bob Champion Research and Education Building	52.619682	1.218946	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Teaching Building	The Enterprise Centre (TEC)	52.625375	1.239803	null	null	"Located at the gateway to the campus, and managed by the Adapt Low Carbon Group, this ground-breaking building is the region's huib for entrepreneurs, innovators and businesses that are committed to building a low carbon future."	TEC	Mon-Fri 8:00 to 17:00	http://theenterprisecentre.uea.ac.uk/
Teaching Building	Music Centre	52.62090746	1.242259741	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Bus Stop	"Bluebell Road, adj University Entrance"	52.6225553	1.247591972	BUS	BUS	Buses from city centre drop off here 	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Bluebell Road, opp University Entrance"	52.62222639	1.247833371	BUS	BUS	"For buses 25, 25A and X25 to Norwich City centre and Rail Station"	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	Chancellors Drive Stop E	52.62191701	1.237227917	BUS	BUS	"For buses 25, 25A and X25 to Norwich City centre and Rail Station"	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"University Drive, Stop A"	52.62282559	1.242157817	BUS	BUS	"For buses: 25, 25A and X25 to Norwich city centre and Rail Station"	bus	N/A	null
Bus Stop	"University Drive, Stop B"	52.62292654	1.243659854	BUS	BUS	"For buses: 21, 21A, 22 to Norwich city centre via Bowthorpe"	bus	N/A	null
Bus Stop	" Norfolk & Norwich University Hospital, Colney Lane (S-bound)"	52.61868636	1.224390864	BUS	BUS	For Buses: 11 and 11A (Sprowston)	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Chancellors Drive, Annexe, Stop F "	52.6217151	1.232780814	BUS	BUS	null	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	Chancellors Drive	52.62184211	1.237995028	BUS	BUS	"For Coaches: National Express 727 Gatwick Airport, South Terminal Bus Station"	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"University Drive, Stop C"	52.62276046	1.243466735	BUS	BUS	"For buses: 9 Wymondham, 604 New Costessey, Park & Ride and drop off for buses from the city centre"	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Bluebell Road, The Avenues, opp"	52.62403374	1.247667074	BUS	BUS	For buses towards city centre	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Bluebell Road, adj North Park Avenue"	52.6201975	1.247007251	BUS	BUS	For buses towards city centre	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Earlham Road, adj Earlham Park Gates"	52.62809432	1.241261959	BUS	BUS	"For buses: 4 (Swanton Morley and Dereham), 3 (Watton), 15 Shipdham, Eastgate"	bus	N/A	null
Bus Stop	"Bluebell Road, opp North Park Avenue"	52.6203929	1.246824861	BUS	BUS	Drop off for buses from city centre	bus	N/A	http://www.uea.ac.uk/estates/transport/Publictransport
Bus Stop	"Earlham Road, opp Earlham Park Gates"	52.62821	1.24083	BUS	BUS	"For buses: 4,3 to Norwich City centre (bus station)"	bus	N/A	null
Cafe	Bio Cafe	52.62095956	1.236450076	null	null	"Located in the science building, Bio Café is fantastic for barista coffee accompanied with a great range of sandwiches & snacks.  "	null	Monday to Friday  09:30am -16:00pm	https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/bio-cafe
Cafe	Cafe Direct	52.62109634	1.241573095	null	null	"Caf&eacute; Direct, the powerhouse of high street coffee shops is renowned for its totally spectacular coffee - the very best on campus! Great baguettes and tasty hot snacks are available here too, find us near the bank."	null	Term time<br/> Monday to Friday  08:00-19:00<br/> Saturday and Sunday 09:30-17:00<br/> <br/> Vacation Period<br/> Monday to Friday 09:00-17:00<br/> Saturday and Sunday 09:30-17:00	http://www.uea.ac.uk/CampusKitchen/outlets/Cafedirect
Cafe	Blend	52.62157	1.24073	null	null	"The Blend is a relaxed coffee and snack bar which offers hot breakfast items, sandwiches, baked items and pizza for lunch. A wide selection of coffees, teas and cold drinks are also available. The Blend is the ideal venue for meeting friends, chatting about a recent lecture or an informal meeting."	null	Monday to Friday: 08:30-19:00	https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/blend
Cafe	Vista	52.62165	1.24073	null	null	"Vista is an oasis of tranquility for staff and post graduates alike. Serving superb barista coffee, delicious lunches and tasty afternoon snacks."	null	Monday to Friday 08:30am to 16:00pm	https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/vista
Cafe	Zest	52.621483	1.24073	null	null	Located on the ground floor of The Campus Kitchen found in the main square. 	null	"Monday - Friday: 07:30am to 20:00pm, Saturday and Sunday: 10:30am to 16:30pm (non-term time Monday - Friday: 07:30am to 18.00pm, closed at the weekends) "	https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/zest
Cafe	Sportscafe	52.62424867	1.241428256	null	null	null	null	Monday to Thursday 08:00 to 22:00<br/> Friday to Saturday 08:00 to 21:00<br/>Last food orders 30mins before close	null
Cafe	INTO Cafe	52.62333686	1.245580316	null	null	null	null	Mon-Fri 8:00 to 17:00	https://twitter.com/INTOUEACafe
Cafe	SVCA Garden Resturant	52.62064692	1.234030724	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Cafe	SVCA Cafe	52.62005095	1.235087514	null	null	null	null	Mon-Fri 8:00 to 17:00	null
Cafe	Tonic	52.61957546	1.223065853	null	null	"Located in the Edith Cavell building, Tonic offers fresh, homemade sandwiches, scones and cakes with an array of coffees, teas and soft drinks.  "	null	Monday to Friday: 8:30am to 15:30pm (closed throughout August)	null
Cafe	Cafe 57	52.622103	1.234125	null	null	Cafe 57 is the latest addition to The Campus Kitchen portfolio. We are located in the The Julian Study Centre (Building 57) on Chancellors Drive	null	Monday to Friday 08.45 - 15.30	https://portal.uea.ac.uk/campus-kitchen/cafes-and-restaurants/cafe-57
Campus Facilities	Astro Turf Pitches	52.626198	1.241605	null	null	null	null	null	null
Campus Facilities	CareerCentral	52.621298	1.241192	null	null	"The Careers Service provides information, advice and guidance services for all UEA students and graduates, helping them into employment and further study."	null	Open 9am-5pm Monday to Friday	https://mycareercentral.uea.ac.uk/students/registration/providerwho?returnURL=%2F
Campus Facilities	Chancellors Drive Annexes	52.62189096	1.23332262	null	null	null	null	null	null
Campus Facilities	Multifaith Centre	52.621799	1.240608	null	null	UEA's Multifaith Centre is a spiritual meeting place and community centre on campus.	null	"We are open for staff and students of the University from 10 am to 4 pm, Monday to Friday during semester time and on Sunday evenings for services. "	https://portal.uea.ac.uk/multifaith
Campus Facilities	Islamic Prayer Room	52.62111	1.240591	null	null	Islamic Prayer Room located in the main Lecture Theatre Block (opposite Lecture Theatre 2).	null	"Open for daily prayers from 6am–11pm every day including weekends, via campus card swipe access"	https://portal.uea.ac.uk/multifaith/faiths/islamic
Campus Facilities	Islamic Prayer Hall	52.624249	1.245454	null	null	The main hall at Blackdale is available for prayers for staff and students on Fridays  	null	Friday 12-3pm	https://portal.uea.ac.uk/multifaith/faiths/islamic
Campus Facilities	Colney Lane Pavillion	52.621601	1.224147	null	null	Colney Lane Pavillion	null	null	null
